ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p
XLP,201,primary,m5_p5,car_adj,surprise_orth_bps,HC1,-0.014712396232822111,0.053636886495186054,3.073210541959951,1.060722587007747,0.9942324738366131,5.1521886100832885,2.897280193334382,0.003764134067280632
SPY,214,primary,m1_p1,car_raw,surprise_bps,HC1,0.24031295925177,0.06822001547253187,-2.8678724246479215,0.7305848294221987,-4.29979237796677,-1.4359524713290732,-3.9254475444228016,8.656863413858317e-05
GLD,164,primary,m1_p1,car_raw,surprise_bps,HC1,0.27375510753346044,0.02224626986601741,-1.944261039126519,1.2466654903080734,-4.38768050089931,0.49915842264627275,-1.559569150058094,0.11886173153815464
XLK,213,primary,m1_p1,car_adj,surprise_bps,HC1,0.28656605874329016,0.036345168382441506,-1.3069810404138376,0.8799060296688023,-3.0315651683443225,0.4176030875166471,-1.4853643415829154,0.13744733622175814
QQQ,212,primary,m1_p1,car_adj,surprise_bps,HC1,0.2992262862642325,0.03174418198589135,-1.2740541486667578,1.0491948948201462,-3.330438355277534,0.7823300579440187,-1.2143160007323113,0.22462707782780256
TLT,183,primary,m1_p1,car_raw,surprise_bps,HC1,0.3681023162571105,0.016079330377520074,-1.1380190523129208,0.9158315834450194,-2.9330159717694473,0.6569778671436063,-1.2426073449357515,0.21401256198384078
XLY,213,primary,m1_p1,car_adj,surprise_bps,HC1,0.08592630630468784,0.03640940286612748,-1.1320538325080551,0.6919209816468047,-2.4881940366833923,0.22408637166728193,-1.6361027668415449,0.10181808123769437
IEF,183,primary,m1_p1,car_raw,surprise_bps,HC1,0.21435455515670587,0.04787193220477648,-0.9437337533866448,0.3732200791847253,-1.6752316668958933,-0.21223583987739614,-2.528625350083439,0.011451018809917913
XLF,213,primary,m1_p1,car_adj,surprise_bps,HC1,-0.18743510227478122,0.012874485686580117,-0.8579368187270067,0.49909532340579504,-1.8361456774547356,0.12027204000072227,-1.7189838864297502,0.08561730603449835
XLB,213,primary,m1_p1,car_adj,surprise_bps,HC1,-0.05194500424384442,0.006131513942330913,-0.5908400732238602,0.7033285038262229,-1.969338610023699,0.7876584635759785,-0.8400627445206513,0.40087320737193866
XLI,213,primary,m1_p1,car_adj,surprise_bps,HC1,-0.043232096926078795,0.0035296680589729235,-0.25936831278263883,0.36381619935932297,-0.9724349605191562,0.45369833495387846,-0.7129102916235838,0.4759012703054587
XLRE,72,primary,m1_p1,car_adj,surprise_bps,HC1,-0.1789315695215536,0.0005996915550856574,0.23635106058779287,1.7425703444319465,-3.179024055026379,3.651726176201965,0.1356335836558954,0.8921109548568457
XLE,213,primary,m1_p1,car_adj,surprise_bps,HC1,-0.17963252214569303,0.0011872338266334381,0.39550096334209295,1.125337609692666,-1.8101202221039245,2.6011221487881104,0.3514509423088648,0.7252500702822187
XLU,213,primary,m1_p1,car_adj,surprise_bps,HC1,-0.3081260620380382,0.007954295737382044,0.7206211537304488,0.8470699539743429,-0.9396054484452644,2.380847755906162,0.850722127906187,0.39492372818386634
XLV,213,primary,m1_p1,car_adj,surprise_bps,HC1,0.03409021129476566,0.015445780739381187,0.7567847851052092,0.4650574614000468,-0.1547110899805089,1.6682806601909275,1.627293072187086,0.10367486856954382
XLP,213,primary,m1_p1,car_adj,surprise_bps,HC1,-0.19870065269008708,0.022513001912861874,1.1082481746231683,0.9634940516549905,-0.7801654659391876,2.996661815185524,1.150238730295775,0.2500455583185788
SPY,202,primary,m1_p1,car_raw,surprise_orth_bps,HC1,0.3253996130450412,0.07659206982552103,-3.2560174960431376,1.1282056202382142,-5.467259878865711,-1.0447751132205645,-2.886014249207204,0.0039015449267148085
XLY,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,0.12087285252859148,0.05569318963042669,-1.4784368932723886,0.5206048935971656,-2.4988037348981402,-0.45807005164663717,-2.839844403030863,0.004513554354316895
XLK,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,0.2542706924745923,0.030178957546349583,-1.3487430589307454,1.060001880432669,-3.4263085681235097,0.7288224502620184,-1.2723968549755957,0.20323215095485625
QQQ,200,primary,m1_p1,car_adj,surprise_orth_bps,HC1,0.2716311849784958,0.02778230682605165,-1.3454910381466332,1.2209235007177701,-3.7384571274320253,1.0474750511387594,-1.1020273074894789,0.27044979996876295
XLRE,60,primary,m1_p1,car_adj,surprise_orth_bps,HC1,0.181515056435274,0.01681616004838793,-1.281846601843512,1.4444795331757714,-4.112974463273254,1.5492812595862302,-0.8874107056576277,0.3748578217773396
TLT,171,primary,m1_p1,car_raw,surprise_orth_bps,HC1,0.3380286151375512,0.01722173680497896,-1.2092956208272017,0.8627553953765309,-2.900265123232817,0.48167388157841357,-1.4016668308396156,0.161014759919195
