ticker,n,spec,window,dep,shock,regime,cov_type,r2,n_high,n_low,shock_beta,shock_se,shock_ci_low,shock_ci_high,shock_t,shock_p,high_beta,high_se,high_ci_low,high_ci_high,high_t,high_p,inter_beta,inter_se,inter_ci_low,inter_ci_high,inter_t,inter_p,beta_high_regime,beta_high_regime_se,beta_high_regime_p,beta_low_regime,threshold,sample
SPY,200,ex_emergency_thr2.0,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.06103156979416191,119,81,-1.8100301723928978,0.9345526679748171,-3.641719743279358,0.021659398493562715,-1.9367877642629252,0.05277129221721167,0.09844333926545212,0.24799299906806727,-0.3876140073260349,0.5845006858569392,0.39696015466320533,0.6913968436408187,-0.3886178162301244,1.2376750197171058,-2.814416279440553,2.037180646980304,-0.3139901913177099,0.7535284885127554,-2.1986479886230224,0.8114497921700948,0.006737850300149602,-1.8100301723928978,2.0,ex_emergency
TLT,171,ex_emergency_thr2.0,d0_p1,car_raw,surprise_bps,high_inflation,HC1,0.07020316761789935,97,74,-3.3655181054117174,0.8395733223921,-5.01105157968087,-1.7199846311425657,-4.00860534232166,6.107839214546092e-05,0.06876249889198796,0.24432530907879393,-0.4101063074140653,0.5476313051980412,0.2814382969625645,0.7783742479076523,3.1828009021959023,1.2512602006813003,0.7303759735721935,5.635225830819611,2.543676287684124,0.010969268959186734,-0.1827172032158153,0.9277762263264236,0.8438736871278333,-3.3655181054117174,2.0,ex_emergency
XLB,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.03563603152623229,119,80,-0.6364878823727004,0.8816472415787608,-2.3644847229361563,1.0915089581907553,-0.7219303280901157,0.47033731395765477,-0.08649804655294922,0.19839197028975428,-0.47533916314280805,0.3023430700369096,-0.43599570298443835,0.6628398472293792,-0.8293726538271299,1.0605877954393172,-2.908086535330926,1.2493412276766662,-0.7819933978059653,0.4342184536530693,-1.46586053619983,0.5895291453790853,0.01290088352076707,-0.6364878823727004,2.0,ex_emergency
XLE,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.011787231039332324,119,80,-0.5935001053032999,0.806083210131647,-2.1733941657037605,0.9863939550971605,-0.7362764759811475,0.46156245925067907,0.2535131754125028,0.27857226932775697,-0.29247843956149283,0.7995047903864985,0.9100445497474458,0.36279901578847074,-0.4258355181527746,1.20178359376538,-2.7812880791440344,1.9296170428384853,-0.3543362718229193,0.7230868878092575,-1.0193356234560744,0.8913549599275771,0.25279789790288865,-0.5935001053032999,2.0,ex_emergency
XLF,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.008208770532317722,119,80,-0.6643844621769731,1.966063270808361,-4.51779766428838,3.1890287399344337,-0.3379262875420111,0.7354187370778847,0.035466728830265526,0.18830105439975528,-0.3335965560441723,0.4045300137047034,0.18835119613813284,0.8506013547404707,0.13601333491133852,2.014781771931653,-3.8128863747824955,4.084913044605172,0.06750772555428522,0.9461775119547972,-0.5283711272656345,0.44038710663050373,0.23022171987502982,-0.6643844621769731,2.0,ex_emergency
XLI,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.013787583158931582,119,80,-0.3774708062249297,0.5340704228246705,-1.4242296001693622,0.6692879877195029,-0.7067809601372537,0.479702608466538,-0.032420102400167995,0.12210307455497542,-0.2717377309295289,0.20689752612919293,-0.26551421836287376,0.7906133581425394,-0.09155251197492825,0.612849587158571,-1.292715630745968,1.1096106067961116,-0.1493882249303688,0.8812473026165432,-0.469023318199858,0.3005884228381206,0.11867705802194017,-0.3774708062249297,2.0,ex_emergency
XLK,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.009814541783490172,119,80,-0.8440318312923719,0.7113230467325853,-2.238199384261541,0.5501357216767971,-1.1865661251514,0.23539880429435633,-0.08805115653381265,0.1621394860749235,-0.40583870971249636,0.22973639664487103,-0.5430580709570328,0.5870898202458403,0.9502575047972226,0.8584276665940632,-0.7322298050598988,2.632744814654344,1.1069744624698639,0.26830496968154227,0.10622567350485074,0.4805388454237607,0.8250493505901146,-0.8440318312923719,2.0,ex_emergency
XLP,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.02630910303194456,119,80,0.4844715382760909,0.6705575615692871,-0.8297971319607118,1.7987402085128938,0.7224906048964621,0.4699928995448194,0.199728807067492,0.15507215081295025,-0.10420702353105418,0.5036646376660382,1.2879734112181567,0.19775521891536274,0.24785170899040898,0.825692369647941,-1.3704755978290886,1.8661790158099065,0.30017439678664837,0.7640441334836281,0.7323232472664999,0.4817887980402664,0.12850874595605577,0.4844715382760909,2.0,ex_emergency
XLRE,65,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.03479347662157328,37,28,-2.6259211004718708,1.2465342843363247,-5.069083403265479,-0.18275879767826292,-2.1065775193419203,0.035154217093625824,-0.10639261838949081,0.39439905772103223,-0.8794005670592479,0.6666153302802663,-0.26975880470978414,0.7873458172887173,2.148312952408126,2.071220673844082,-1.9112049723610574,6.20783087717731,1.0372206976965734,0.2996330141545176,-0.4776081480637448,1.6541183022182109,0.7727812618946203,-2.6259211004718708,2.0,ex_emergency
XLU,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.002724770296869683,119,80,0.440145381266494,1.272846961443678,-2.0545888209943577,2.934879583527346,0.3457959948046511,0.729496035374375,-0.11648820509454852,0.20855188496221425,-0.525242388528429,0.2922659783393319,-0.5585574309992645,0.5764637990707753,-0.38705603862904703,1.4054773146068762,-3.1417409563465957,2.3676288790885014,-0.2753911675460303,0.7830157291245421,0.053089342637446975,0.5960093074928906,0.9290225540954715,0.440145381266494,2.0,ex_emergency
XLV,199,ex_emergency_thr2.0,d0_p1,car_adj,surprise_bps,high_inflation,HC1,0.040257591306553264,119,80,0.8869149014518178,0.665980843413547,-0.41838356603234367,2.1922133689359793,1.331742361996259,0.1829448637992661,-0.030692860780988526,0.1492318378016088,-0.3231818882188648,0.2617961666568877,-0.20567233663497533,0.8370468687333191,0.16113107832069312,0.7602551514198981,-1.3289416375233525,1.6512037941647386,0.21194342191533336,0.8321511742322546,1.048045979772511,0.3666843485433664,0.0042609287064503745,0.8869149014518178,2.0,ex_emergency
