ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p,sample,dep_mode
XLF,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.24928168669292577,0.05014899428387776,-5.559843975861815,2.0761084492233257,-9.628941764338837,-1.4907461873847936,-2.6780123061209826,0.007406049724626821,baseline,car_raw
XLB,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.11314623133653073,0.04958866195089762,-5.134910996791674,2.002884980811224,-9.06049342435787,-1.209328569225477,-2.5637573030838205,0.010354592024787121,baseline,car_raw
XLV,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.37607998771539375,0.08024110724246247,-4.638957055264303,1.3649796778630816,-7.314268063505028,-1.9636460470235786,-3.3985539349030716,0.0006774310435209862,baseline,car_raw
XLU,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.3029502249069647,0.06281177846568431,-4.170225568465024,1.4971031969890807,-7.1044939157033955,-1.2359572212266519,-2.7855297997172332,0.0053440327671306275,baseline,car_raw
TLT,171,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.234705067259824,0.06354230452822185,-3.690016694975072,1.1134509437062203,-5.8723404431913995,-1.507692946758745,-3.314036164622147,0.000919596124218415,baseline,car_raw
GLD,152,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.06659527730800974,0.02736797877081354,-3.5438656704284908,2.3750062096167404,-8.198792304336289,1.1110609634793065,-1.4921500651572492,0.13565980956803225,baseline,car_raw
XLP,201,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.2590983481714897,0.034932614605500234,-2.528242567231624,1.1420939273786546,-4.766705531855691,-0.2897796026075573,-2.2136905788777566,0.026850071465793622,baseline,car_raw
IEF,171,baseline,m5_p5,car_raw,surprise_orth_bps,HC1,0.20857284283556593,0.07609639621712938,-1.9684946103190963,0.543315948058327,-3.0333743007396516,-0.903614919898541,-3.623112145619866,0.0002910795432772307,baseline,car_raw
XLRE,60,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.35377920643321725,0.03323398902899921,-3.293386530066831,2.491732745180896,-8.177092969720507,1.5903199095868445,-1.3217254283937006,0.18625959797617364,baseline,car_adj
QQQ,200,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.0205034768664306,0.030374521715028302,-2.5908295481016212,1.4373678102063112,-5.408018688643195,0.22635959243995293,-1.8024819602226578,0.07146961043705903,baseline,car_adj
