meeting_id,meeting_date,announcement_timestamp,scheduled,emergency,target_before,target_after,target_after_asof,raw_change_bps,surprise_bps,surprise_orth_bps,surprise_source,date_validated_official,official_source,official_release_title,hf_tnote02_bps,hf_tnote10_bps,hf_tbond_bps
FOMC19891016,1989-10-16,1989-10-16 11:30:00,False,True,9.0625,9.0625,1989-10-18,0.0,2.573469886425696,2.609100891454829,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.6661662866610965,1.2378894678698174
FOMC19891019,1989-10-19,1989-10-19 11:30:00,False,True,9.0625,8.75,1989-10-24,-31.25,1.5520127012341491,1.657645489172956,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.887680697730394,-0.6202624405209727
FOMC19891107,1989-11-07,1989-11-07 11:30:00,False,True,8.5,8.5,1989-11-07,0.0,-5.965282163366185,-6.571843952804351,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-3.097086143275226,-2.1503064500437787
FOMC19891108,1989-11-08,1989-11-08 11:30:00,False,True,8.5,8.5,1989-11-08,0.0,1.3024726831026912,0.8713147305657244,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.43959755253154725,-0.15238002625565225
FOMC19891109,1989-11-09,1989-11-09 11:30:00,False,True,8.5,8.5,1989-11-14,0.0,4.666699668786427,4.424694893718422,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,2.1939735015059174,2.4367954950654207
FOMC19891115,1989-11-15,1989-11-15 11:30:00,True,False,8.5,8.5,1989-11-20,0.0,2.516901411392014,2.316963871538671,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,1.096048709508808,0.7607234890844558
FOMC19891220,1989-12-20,1989-12-20 11:30:00,True,False,8.5,8.25,1989-12-25,-25.0,-2.03198527697526,-2.8658675340541397,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.21811867349964,0.6044603673929084
FOMC19900208,1990-02-08,1990-02-08 11:30:00,True,False,8.25,8.25,1990-02-13,0.0,1.989639356789762,1.089662556454846,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,1.151067745110626,2.3277943047166882
FOMC19900328,1990-03-28,1990-03-28 11:30:00,True,False,8.25,8.25,1990-04-02,0.0,-1.592771614153128,-2.596569596878664,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.9273420106182564,-0.6711012712755833
FOMC19900516,1990-05-16,1990-05-16 11:30:00,True,False,8.25,8.25,1990-05-21,0.0,-0.8308540542225176,1.3718100401193911,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.9381152701465201,-1.199232943076302
FOMC19900705,1990-07-05,1990-07-05 11:30:00,True,False,8.25,8.25,1990-07-10,0.0,1.569945267890317,2.023835680989046,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.0,0.4954591321897074
FOMC19900713,1990-07-13,1990-07-13 11:30:00,False,True,8.25,8.0,1990-07-18,-25.0,-2.433746799218413,-2.336597087743125,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.4605150581793292,0.33350014011769885
FOMC19900822,1990-08-22,1990-08-22 11:30:00,True,False,8.0,8.0,1990-08-27,0.0,1.2858772791594921,3.697720653008158,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.9521163565357224,-1.440984719165827
FOMC19901003,1990-10-03,1990-10-03 11:30:00,True,False,8.0,8.0,1990-10-08,0.0,-0.049293036495447654,-0.2169828581560062,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.938118953574904,-0.7053858152124048
FOMC19901029,1990-10-29,1990-10-29 11:30:00,False,True,8.0,7.75,1990-11-03,-25.0,1.33687676982841,2.3841297724229977,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.9320962041978452,1.3934476299071508
FOMC19901114,1990-11-14,1990-11-14 11:30:00,True,False,7.75,7.5,1990-11-14,-25.0,1.415531155495307,1.421384546987081,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,1.3709259628248556,0.8377073966896634
